drug_a	drug_b	cell_line	score	fold
5-FU	AZD1775	SKOV3	18.744963944400002	1
5-FU	AZD1775	SW620	8.0516725326	1
5-FU	AZD1775	SW837	2.5778554159000002	1
5-FU	AZD1775	T47D	10.0383629005	1
5-FU	AZD1775	UACC62	11.459350528699998	1
5-FU	AZD1775	UWB1289BRCA1	6.222113978099999	1
5-FU	AZD1775	UWB1289	70.1581688167	1
5-FU	AZD1775	VCAP	-0.9983275325	1
5-FU	AZD1775	ZR751	0.423932097	1
5-FU	BEZ-235	A2058	13.6791116022	1
5-FU	BEZ-235	A2780	3.9332239081	1
5-FU	BEZ-235	A375	3.2905479611	1
5-FU	BEZ-235	A427	8.8428112257	1
5-FU	BEZ-235	CAOV3	4.4325063513	1
5-FU	BEZ-235	COLO320DM	15.6281477403	1
5-FU	BEZ-235	DLD1	13.035578754300001	1
5-FU	BEZ-235	EFM192B	9.660318047	1
5-FU	BEZ-235	ES2	2.4774290291	1
5-FU	BEZ-235	HCT116	2.7457843602999996	1
5-FU	BEZ-235	HT144	2.3230897887	1
5-FU	BEZ-235	HT29	11.895802721099999	1
5-FU	BEZ-235	KPL1	16.462849087000002	1
5-FU	BEZ-235	LNCAP	55.291299337	1
5-FU	BEZ-235	LOVO	0.0497243445	1
5-FU	BEZ-235	MDAMB436	18.9742923554	1
5-FU	BEZ-235	MSTO	-8.3211162122	1
5-FU	BEZ-235	NCIH1650	17.6381552118	1
5-FU	BEZ-235	NCIH2122	7.697273484099999	1
5-FU	BEZ-235	NCIH23	4.9902197108	1
5-FU	BEZ-235	NCIH460	20.1004137353	1
5-FU	BEZ-235	NCIH520	16.721797226099998	1
5-FU	BEZ-235	OCUBM	16.3880555937	1
5-FU	BEZ-235	OV90	17.5470785652	1
5-FU	BEZ-235	OVCAR3	17.1196123484	1
5-FU	BEZ-235	PA1	21.562386718899997	1
5-FU	BEZ-235	RKO	16.9360013477	1
5-FU	BEZ-235	RPMI7951	12.7059498499	1
5-FU	BEZ-235	SKMEL30	-73.1384016545	1
5-FU	BEZ-235	SKMES1	21.2679035017	1
5-FU	BEZ-235	SKOV3	4.2458790789	1
5-FU	BEZ-235	SW620	12.0285902424	1
5-FU	BEZ-235	SW837	5.514510747899999	1
5-FU	BEZ-235	T47D	106.00719237780001	1
5-FU	BEZ-235	UACC62	7.9318775251	1
5-FU	BEZ-235	UWB1289BRCA1	18.8650385873	1
5-FU	BEZ-235	UWB1289	17.0637803344	1
5-FU	BEZ-235	VCAP	11.757424822699999	1
5-FU	BEZ-235	ZR751	7.0759828056	1
5-FU	BORTEZOMIB	A2058	-5.2398784479	2
5-FU	BORTEZOMIB	A2780	-18.599126219000002	2
5-FU	BORTEZOMIB	A375	-2.4053347825	2
5-FU	BORTEZOMIB	A427	-7.8767081501	2
5-FU	BORTEZOMIB	CAOV3	-35.2730418424	2
5-FU	BORTEZOMIB	COLO320DM	-10.9704461582	2
5-FU	BORTEZOMIB	DLD1	5.2284767557	2
5-FU	BORTEZOMIB	EFM192B	-8.3561110301	2
5-FU	BORTEZOMIB	ES2	-16.130125329200002	2
5-FU	BORTEZOMIB	HCT116	-4.519269449599999	2
5-FU	BORTEZOMIB	HT144	-14.5697825802	2
5-FU	BORTEZOMIB	HT29	-15.9516134706	2
5-FU	BORTEZOMIB	KPL1	-2.9975327263	2
5-FU	BORTEZOMIB	LNCAP	-1.8552324806	2
5-FU	BORTEZOMIB	LOVO	-6.175982009299999	2
5-FU	BORTEZOMIB	MDAMB436	-2.0255657606	2
5-FU	BORTEZOMIB	MSTO	52.485189723299996	2
5-FU	BORTEZOMIB	NCIH1650	-15.7787056902	2
5-FU	BORTEZOMIB	NCIH2122	-16.6962656751	2
5-FU	BORTEZOMIB	NCIH23	-9.1909645858	2
5-FU	BORTEZOMIB	NCIH460	-18.9981302614	2
5-FU	BORTEZOMIB	NCIH520	-24.067550909899996	2
5-FU	BORTEZOMIB	OCUBM	-7.508624838899999	2
5-FU	BORTEZOMIB	OV90	-9.5861668687	2
5-FU	BORTEZOMIB	OVCAR3	-9.895036465499999	2
5-FU	BORTEZOMIB	PA1	-20.7061680779	2
5-FU	BORTEZOMIB	RKO	2.9072006684	2
5-FU	BORTEZOMIB	RPMI7951	-10.479414394099999	2
5-FU	BORTEZOMIB	SKMEL30	-172.88870209080002	2
5-FU	BORTEZOMIB	SKMES1	-11.6427298467	2
5-FU	BORTEZOMIB	SKOV3	-4.6048936233	2
5-FU	BORTEZOMIB	SW620	-1.9079668183	2
5-FU	BORTEZOMIB	SW837	-1.3618595002	2
5-FU	BORTEZOMIB	T47D	2.7487911813999997	2
5-FU	BORTEZOMIB	UACC62	-17.8418510777	2
5-FU	BORTEZOMIB	UWB1289BRCA1	-2.8197803553	2
5-FU	BORTEZOMIB	UWB1289	-15.0307501791	2
5-FU	BORTEZOMIB	VCAP	-7.0535106309	2
5-FU	BORTEZOMIB	ZR751	-17.451375272699998	2
5-FU	DASATINIB	A2058	31.1256441825	1
5-FU	DASATINIB	A2780	50.6036602621	1
5-FU	DASATINIB	A375	2.6836891586	1
5-FU	DASATINIB	A427	28.348084512899998	1
5-FU	DASATINIB	CAOV3	17.8798317329	1
5-FU	DASATINIB	COLO320DM	6.4670310089	1
5-FU	DASATINIB	DLD1	21.4330908809	1
5-FU	DASATINIB	EFM192B	3.8423834056	1
5-FU	DASATINIB	ES2	17.6901953531	1
5-FU	DASATINIB	HCT116	-7.8192717861	1
5-FU	DASATINIB	HT144	-22.973278118400003	1
5-FU	DASATINIB	HT29	17.0669807634	1
5-FU	DASATINIB	KPL1	3.4468119112999998	1
5-FU	DASATINIB	LNCAP	0.24250736579999999	1
5-FU	DASATINIB	LOVO	21.3855881893	1
5-FU	DASATINIB	MDAMB436	18.7186968772	1
5-FU	DASATINIB	MSTO	17.562990649	1
5-FU	DASATINIB	NCIH1650	23.2349707101	1
5-FU	DASATINIB	NCIH2122	-31.1947195955	1
5-FU	DASATINIB	NCIH23	11.5591467519	1
5-FU	DASATINIB	NCIH460	21.668726101199997	1
5-FU	DASATINIB	NCIH520	42.735051441799996	1
5-FU	DASATINIB	OCUBM	-6.0435035517	1
5-FU	DASATINIB	OV90	0.4330347743	1
5-FU	DASATINIB	OVCAR3	57.0331471062	1
5-FU	DASATINIB	PA1	33.9082835151	1
5-FU	DASATINIB	RKO	17.3116328276	1
5-FU	DASATINIB	RPMI7951	19.063551028499997	1
5-FU	DASATINIB	SKMEL30	-4.6186948142	1
5-FU	DASATINIB	SKMES1	2.9818204918	1
5-FU	DASATINIB	SKOV3	1.3046560675	1
5-FU	DASATINIB	SW620	30.444630835300003	1
5-FU	DASATINIB	SW837	15.8773368915	1
5-FU	DASATINIB	T47D	18.8656014132	1
5-FU	DASATINIB	UACC62	12.123960338900002	1
5-FU	DASATINIB	UWB1289BRCA1	7.6733601203	1
5-FU	DASATINIB	UWB1289	3.7658996852999995	1
5-FU	DASATINIB	VCAP	21.455726442	1
5-FU	DASATINIB	ZR751	5.1142794332	1
5-FU	DINACICLIB	A2058	4.3316952071	0
5-FU	DINACICLIB	A2780	-8.1611286386	0
5-FU	DINACICLIB	A375	-5.4159342011	0
5-FU	DINACICLIB	A427	-7.7474736816	0
5-FU	DINACICLIB	CAOV3	-14.347425890899999	0
5-FU	DINACICLIB	COLO320DM	4.8075500511	0
5-FU	DINACICLIB	DLD1	-3.6412672658	0
5-FU	DINACICLIB	EFM192B	0.3121068316	0
5-FU	DINACICLIB	ES2	3.4071845582	0
5-FU	DINACICLIB	HCT116	2.9189014698	0
5-FU	DINACICLIB	HT144	-3.4774222173	0
5-FU	DINACICLIB	HT29	-2.5394087441999997	0
5-FU	DINACICLIB	KPL1	0.007355464	0
5-FU	DINACICLIB	LNCAP	-0.8480444662000001	0
5-FU	DINACICLIB	LOVO	-11.8769599262	0
5-FU	DINACICLIB	MDAMB436	5.347534119800001	0
5-FU	DINACICLIB	MSTO	1.1104282837000001	0
5-FU	DINACICLIB	NCIH1650	-2.1132235055	0
5-FU	DINACICLIB	NCIH2122	1.2187131729	0
5-FU	DINACICLIB	NCIH23	-9.5337022995	0
5-FU	DINACICLIB	NCIH460	-7.4209805584	0
5-FU	DINACICLIB	NCIH520	-4.3210485458	0
5-FU	DINACICLIB	OCUBM	6.785054032300001	0
5-FU	DINACICLIB	OV90	-5.9355790616999995	0
5-FU	DINACICLIB	OVCAR3	2.7064693261	0
5-FU	DINACICLIB	PA1	-5.7328651442	0
5-FU	DINACICLIB	RKO	5.6238194396	0
5-FU	DINACICLIB	RPMI7951	-5.6869902395	0
5-FU	DINACICLIB	SKMEL30	-96.6171400256	0
5-FU	DINACICLIB	SKMES1	-3.1403413007	0
5-FU	DINACICLIB	SKOV3	-13.8991015225	0
5-FU	DINACICLIB	SW620	-4.5680713977	0
5-FU	DINACICLIB	SW837	-19.5733229304	0
5-FU	DINACICLIB	T47D	-2.721986339	0
5-FU	DINACICLIB	UACC62	3.6825732483999998	0
5-FU	DINACICLIB	UWB1289BRCA1	3.0417152863999997	0
5-FU	DINACICLIB	UWB1289	-0.2331905921	0
5-FU	DINACICLIB	VCAP	14.421993999200001	0
5-FU	DINACICLIB	ZR751	-13.5823901433	0
5-FU	ERLOTINIB	A2058	9.6942857549	3
5-FU	ERLOTINIB	A2780	16.5693311017	3
5-FU	ERLOTINIB	A375	13.9643924282	3
5-FU	ERLOTINIB	A427	18.429258155699998	3
5-FU	ERLOTINIB	CAOV3	-7.9516351685	3
5-FU	ERLOTINIB	COLO320DM	22.1679734087	3
5-FU	ERLOTINIB	DLD1	10.181271291	3
5-FU	ERLOTINIB	EFM192B	10.5434563577	3
5-FU	ERLOTINIB	ES2	15.123162496900001	3
5-FU	ERLOTINIB	HCT116	14.4529779349	3
5-FU	ERLOTINIB	HT144	9.5594532711	3
5-FU	ERLOTINIB	HT29	11.337471621199999	3
5-FU	ERLOTINIB	KPL1	-3.0152734579000002	3
5-FU	ERLOTINIB	LNCAP	-6.9843951948	3
5-FU	ERLOTINIB	LOVO	12.417331683099999	3
5-FU	ERLOTINIB	MDAMB436	16.1498978974	3
5-FU	ERLOTINIB	MSTO	-45.89376065850001	3
5-FU	ERLOTINIB	NCIH1650	0.9247862495999999	3
5-FU	ERLOTINIB	NCIH2122	24.454976829899998	3
5-FU	ERLOTINIB	NCIH23	6.373410139600001	3
5-FU	ERLOTINIB	NCIH460	17.2248469758	3
5-FU	ERLOTINIB	NCIH520	7.235758199099999	3
5-FU	ERLOTINIB	OCUBM	28.1444385648	3
5-FU	ERLOTINIB	OV90	-11.040045846300002	3
5-FU	ERLOTINIB	OVCAR3	29.201255854099998	3
5-FU	ERLOTINIB	PA1	11.223205907799999	3
5-FU	ERLOTINIB	RKO	20.9875725757	3
5-FU	ERLOTINIB	RPMI7951	17.0048417484	3
5-FU	ERLOTINIB	SKMEL30	13.954883860499999	3
5-FU	ERLOTINIB	SKMES1	21.2894247643	3
5-FU	ERLOTINIB	SKOV3	16.2106176273	3
5-FU	ERLOTINIB	SW620	0.4948904511	3
5-FU	ERLOTINIB	SW837	17.2993876184	3
5-FU	ERLOTINIB	T47D	-3.0497103681	3
5-FU	ERLOTINIB	UACC62	17.9689860115	3
5-FU	ERLOTINIB	UWB1289BRCA1	22.191236037600003	3
5-FU	ERLOTINIB	UWB1289	16.4443510899	3
5-FU	ERLOTINIB	VCAP	24.4137931368	3
5-FU	ERLOTINIB	ZR751	22.830617603	3
5-FU	GELDANAMYCIN	A2058	7.3767092383	4
5-FU	GELDANAMYCIN	A2780	0.9119639421	4
5-FU	GELDANAMYCIN	A375	7.160975098	4
5-FU	GELDANAMYCIN	A427	3.5967980366	4
5-FU	GELDANAMYCIN	CAOV3	-12.9867067055	4
5-FU	GELDANAMYCIN	COLO320DM	7.231877045399999	4
5-FU	GELDANAMYCIN	DLD1	2.4338958065000003	4
5-FU	GELDANAMYCIN	EFM192B	2.620901233	4
5-FU	GELDANAMYCIN	ES2	-5.2570249896	4
5-FU	GELDANAMYCIN	HCT116	2.9166634421	4
5-FU	GELDANAMYCIN	HT144	5.3722158878999995	4
5-FU	GELDANAMYCIN	HT29	-3.9460712694	4
5-FU	GELDANAMYCIN	KPL1	2.3305768406	4
5-FU	GELDANAMYCIN	LNCAP	16.3096388084	4
5-FU	GELDANAMYCIN	LOVO	-6.3531366592	4
5-FU	GELDANAMYCIN	MDAMB436	5.799105229299999	4
5-FU	GELDANAMYCIN	MSTO	1.4592157232	4
5-FU	GELDANAMYCIN	NCIH1650	-6.752269383200001	4
5-FU	GELDANAMYCIN	NCIH2122	-2.6927348531999997	4
5-FU	GELDANAMYCIN	NCIH23	-9.33481084	4
5-FU	GELDANAMYCIN	NCIH460	-2.4468045136	4
5-FU	GELDANAMYCIN	NCIH520	3.5130376786	4
5-FU	GELDANAMYCIN	OCUBM	-0.9389248489	4
5-FU	GELDANAMYCIN	OV90	0.2845088978	4
5-FU	GELDANAMYCIN	OVCAR3	-8.8404468247	4
5-FU	GELDANAMYCIN	PA1	-1.7946121875999999	4
5-FU	GELDANAMYCIN	RKO	5.2461803983	4
5-FU	GELDANAMYCIN	RPMI7951	-8.0842471839	4
5-FU	GELDANAMYCIN	SKMEL30	-80.6389686735	4
5-FU	GELDANAMYCIN	SKMES1	2.7036052766000003	4
5-FU	GELDANAMYCIN	SKOV3	-9.1881641947	4
5-FU	GELDANAMYCIN	SW620	-2.851271236	4
5-FU	GELDANAMYCIN	SW837	-10.0141809923	4
5-FU	GELDANAMYCIN	T47D	30.679994412600003	4
5-FU	GELDANAMYCIN	UACC62	-1.3454010106999998	4
5-FU	GELDANAMYCIN	UWB1289BRCA1	-7.7470597939	4
5-FU	GELDANAMYCIN	UWB1289	-6.7529812562	4
5-FU	GELDANAMYCIN	VCAP	14.044519216600001	4
5-FU	GELDANAMYCIN	ZR751	-15.0092845632	4
5-FU	L778123	A2058	9.7282647976	1
5-FU	L778123	A2780	8.7866069583	1
5-FU	L778123	A375	7.632943657899999	1
5-FU	L778123	A427	12.3277489383	1
5-FU	L778123	CAOV3	-11.2445613151	1
5-FU	L778123	COLO320DM	17.7504354548	1
5-FU	L778123	DLD1	13.2529242306	1
5-FU	L778123	EFM192B	5.159884963500001	1
5-FU	L778123	ES2	10.1135073338	1
5-FU	L778123	HCT116	11.7123653003	1
5-FU	L778123	HT144	0.19775362789999998	1
5-FU	L778123	HT29	17.543974246199998	1
5-FU	L778123	KPL1	2.4967327943	1
5-FU	L778123	LNCAP	5.0386480378	1
5-FU	L778123	LOVO	3.0950710355	1
5-FU	L778123	MDAMB436	6.6049127114	1
5-FU	L778123	MSTO	1.034479697	1
5-FU	L778123	NCIH1650	12.219824893800002	1
5-FU	L778123	NCIH2122	1.4919157638	1
5-FU	L778123	NCIH23	4.785807361	1
5-FU	L778123	NCIH460	-0.5617591171	1
5-FU	L778123	NCIH520	13.778205073599999	1
5-FU	L778123	OCUBM	10.9390380171	1
5-FU	L778123	OV90	12.205345101199999	1
5-FU	L778123	OVCAR3	3.6025835235000003	1
5-FU	L778123	PA1	14.5367422952	1
5-FU	L778123	RKO	4.7786590770999995	1
5-FU	L778123	RPMI7951	0.7730436273000001	1
5-FU	L778123	SKMEL30	-57.88453337	1
5-FU	L778123	SKMES1	6.0790006726	1
5-FU	L778123	SKOV3	8.1306805695	1
5-FU	L778123	SW620	4.8157967021	1
5-FU	L778123	SW837	-4.4571313729	1
5-FU	L778123	T47D	21.158757331700002	1
5-FU	L778123	UACC62	6.817916203899999	1
5-FU	L778123	UWB1289BRCA1	12.5476353297	1
5-FU	L778123	UWB1289	13.7199255864	1
5-FU	L778123	VCAP	12.7404294136	1
5-FU	L778123	ZR751	8.120486489600001	1
5-FU	LAPATINIB	A2058	9.1921381489	1
5-FU	LAPATINIB	A2780	8.0111248094	1
5-FU	LAPATINIB	A375	7.497787303	1
5-FU	LAPATINIB	A427	-4.1794542535	1
5-FU	LAPATINIB	CAOV3	-6.7775280299	1
5-FU	LAPATINIB	COLO320DM	3.2093461762	1
5-FU	LAPATINIB	DLD1	11.5546266847	1
5-FU	LAPATINIB	EFM192B	7.2381930137	1
5-FU	LAPATINIB	ES2	5.344512472	1
5-FU	LAPATINIB	HCT116	9.688038389199999	1
5-FU	LAPATINIB	HT144	4.670574992300001	1
5-FU	LAPATINIB	HT29	4.5330856346	1
5-FU	LAPATINIB	KPL1	-9.537311313	1
5-FU	LAPATINIB	LNCAP	-16.3764972151	1
5-FU	LAPATINIB	LOVO	17.490586400599998	1
5-FU	LAPATINIB	MDAMB436	3.6446355785000004	1
5-FU	LAPATINIB	MSTO	-55.4702643201	1
5-FU	LAPATINIB	NCIH1650	0.9058173714	1
5-FU	LAPATINIB	NCIH2122	9.9561959778	1
5-FU	LAPATINIB	NCIH23	-8.7347995249	1
5-FU	LAPATINIB	NCIH460	-2.0350125809	1
5-FU	LAPATINIB	NCIH520	-7.2635219080999995	1
5-FU	LAPATINIB	OCUBM	3.6962294526	1
5-FU	LAPATINIB	OV90	-9.295070254299999	1
5-FU	LAPATINIB	OVCAR3	18.0118570501	1
5-FU	LAPATINIB	PA1	14.1592188707	1
5-FU	LAPATINIB	RKO	11.5445360217	1
5-FU	LAPATINIB	RPMI7951	3.3187648663	1
5-FU	LAPATINIB	SKMEL30	9.4835037451	1
5-FU	LAPATINIB	SKMES1	11.059641017799999	1
5-FU	LAPATINIB	SKOV3	7.118783779299999	1
5-FU	LAPATINIB	SW620	-2.41819166	1
5-FU	LAPATINIB	SW837	6.956325429	1
5-FU	LAPATINIB	T47D	14.909282783699998	1
5-FU	LAPATINIB	UACC62	9.1199463026	1
5-FU	LAPATINIB	UWB1289BRCA1	19.0058752078	1
5-FU	LAPATINIB	UWB1289	3.8847212875999997	1
5-FU	LAPATINIB	VCAP	10.6325581361	1
5-FU	LAPATINIB	ZR751	14.6763066586	1
5-FU	MK-2206	A2058	15.9003975952	2
5-FU	MK-2206	A2780	18.656212521500002	2
5-FU	MK-2206	A375	1.4627542044	2
5-FU	MK-2206	A427	14.1170997404	2
5-FU	MK-2206	CAOV3	41.069141780500004	2
5-FU	MK-2206	COLO320DM	23.4842071652	2
5-FU	MK-2206	DLD1	17.4731950621	2
5-FU	MK-2206	EFM192B	-2.2255019318	2
5-FU	MK-2206	ES2	0.20837955530000002	2
5-FU	MK-2206	HCT116	4.1234224097	2
5-FU	MK-2206	HT144	2.0214349365	2
5-FU	MK-2206	HT29	15.704505817000001	2
5-FU	MK-2206	KPL1	26.864775353600002	2
5-FU	MK-2206	LNCAP	8.3059919541	2
5-FU	MK-2206	LOVO	0.8485305444	2
5-FU	MK-2206	MDAMB436	11.605373831300001	2
5-FU	MK-2206	MSTO	-35.3119882241	2
5-FU	MK-2206	NCIH1650	12.9608908226	2
5-FU	MK-2206	NCIH2122	14.5182360522	2
5-FU	MK-2206	NCIH23	3.9299038906	2
5-FU	MK-2206	NCIH460	16.5835935756	2
5-FU	MK-2206	NCIH520	12.953864703099999	2
5-FU	MK-2206	OCUBM	0.7515517096	2
5-FU	MK-2206	OV90	6.205835325900001	2
5-FU	MK-2206	OVCAR3	16.3679150898	2
5-FU	MK-2206	PA1	22.8438567281	2
5-FU	MK-2206	RKO	21.9986829902	2
5-FU	MK-2206	RPMI7951	13.7924902162	2
5-FU	MK-2206	SKMEL30	9.528004578	2
5-FU	MK-2206	SKMES1	18.5031612926	2
5-FU	MK-2206	SKOV3	12.725931577	2
5-FU	MK-2206	SW620	12.555487810399999	2
5-FU	MK-2206	SW837	5.1723316978	2
5-FU	MK-2206	T47D	5.9686104256	2
5-FU	MK-2206	UACC62	16.6719027294	2
5-FU	MK-2206	UWB1289BRCA1	21.708366618400003	2
5-FU	MK-2206	UWB1289	20.7586233912	2
5-FU	MK-2206	VCAP	8.8828429883	2
5-FU	MK-2206	ZR751	11.5602363877	2
5-FU	MK-4827	A2058	6.7380597244	3
5-FU	MK-4827	A2780	9.9200924223	3
5-FU	MK-4827	A375	-2.1913568907	3
5-FU	MK-4827	A427	7.285223049400001	3
5-FU	MK-4827	CAOV3	-3.7460101438	3
5-FU	MK-4827	COLO320DM	7.4138771847000005	3
5-FU	MK-4827	DLD1	0.8137396618000001	3
5-FU	MK-4827	EFM192B	-6.7813763087	3
5-FU	MK-4827	ES2	-4.0814869489	3
5-FU	MK-4827	HCT116	8.0324018449	3
5-FU	MK-4827	HT144	-2.5727064212	3
5-FU	MK-4827	HT29	3.2803166061	3
5-FU	MK-4827	KPL1	-3.7239969705	3
5-FU	MK-4827	LNCAP	-24.481491899499996	3
5-FU	MK-4827	LOVO	-14.5737162026	3
5-FU	MK-4827	MDAMB436	2.5650627877	3
5-FU	MK-4827	MSTO	-54.8482021133	3
5-FU	MK-4827	NCIH1650	-9.2480173289	3
5-FU	MK-4827	NCIH2122	1.8558659516	3
5-FU	MK-4827	NCIH23	-10.5263423251	3
5-FU	MK-4827	NCIH460	-2.8604770300999998	3
5-FU	MK-4827	NCIH520	4.4514426938	3
5-FU	MK-4827	OCUBM	10.3365878625	3
5-FU	MK-4827	OV90	-11.575963303	3
5-FU	MK-4827	OVCAR3	-1.8376363782	3
5-FU	MK-4827	PA1	4.9072076328	3
5-FU	MK-4827	RKO	-0.3218696371	3
5-FU	MK-4827	RPMI7951	1.7688753556999999	3
5-FU	MK-4827	SKMEL30	3.7669646714	3
5-FU	MK-4827	SKMES1	0.7304384281999999	3
5-FU	MK-4827	SKOV3	-0.060945556799999995	3
5-FU	MK-4827	SW620	4.2713930567	3
5-FU	MK-4827	SW837	-12.7245151344	3
5-FU	MK-4827	T47D	-9.8818158289	3
5-FU	MK-4827	UACC62	1.3318645202	3
5-FU	MK-4827	UWB1289BRCA1	8.4158777087	3
5-FU	MK-4827	UWB1289	0.7880892026999999	3
5-FU	MK-4827	VCAP	10.988579061800001	3
5-FU	MK-4827	ZR751	3.1821546666000002	3
5-FU	MK-5108	A2058	1.8048954561000001	2
5-FU	MK-5108	A2780	9.2608129746	2
5-FU	MK-5108	A375	8.9984383656	2
5-FU	MK-5108	A427	3.5350283438999996	2
5-FU	MK-5108	CAOV3	-13.041340690999998	2
5-FU	MK-5108	COLO320DM	12.5842536583	2
5-FU	MK-5108	DLD1	0.9239054681000001	2
5-FU	MK-5108	EFM192B	-0.3141438399	2
5-FU	MK-5108	ES2	3.5129827458999996	2
5-FU	MK-5108	HCT116	16.5701564393	2
5-FU	MK-5108	HT144	0.7960237066	2
5-FU	MK-5108	HT29	12.4304918803	2
5-FU	MK-5108	KPL1	3.7195503932	2
5-FU	MK-5108	LNCAP	-20.6434715032	2
5-FU	MK-5108	LOVO	0.9569595237	2
5-FU	MK-5108	MDAMB436	2.8172121104000003	2
5-FU	MK-5108	MSTO	-34.445935871799996	2
5-FU	MK-5108	NCIH1650	-0.6599837702	2
5-FU	MK-5108	NCIH2122	-1.7886402574	2
5-FU	MK-5108	NCIH23	-2.7746186765	2
5-FU	MK-5108	NCIH460	-5.659480778200001	2
5-FU	MK-5108	NCIH520	2.7796403404000003	2
5-FU	MK-5108	OCUBM	4.9421224788	2
5-FU	MK-5108	OV90	0.7102572606	2
5-FU	MK-5108	OVCAR3	10.017439335499999	2
5-FU	MK-5108	PA1	16.3248100207	2
5-FU	MK-5108	RKO	-2.4180318894	2
5-FU	MK-5108	RPMI7951	4.4237664099	2
5-FU	MK-5108	SKMEL30	14.838571446500001	2
5-FU	MK-5108	SKMES1	-2.969522572	2
5-FU	MK-5108	SKOV3	8.1828554544	2
5-FU	MK-5108	SW620	4.1982352116	2
5-FU	MK-5108	SW837	-3.1947088918	2
5-FU	MK-5108	T47D	4.9294221133	2
5-FU	MK-5108	UACC62	8.1866547691	2
5-FU	MK-5108	UWB1289BRCA1	13.881785029400001	2
5-FU	MK-5108	UWB1289	6.5821698596000004	2
5-FU	MK-5108	VCAP	11.649741335	2
5-FU	MK-5108	ZR751	0.8270235376	2
5-FU	MK-8669	A2058	32.336231656	0
5-FU	MK-8669	A2780	16.2953130836	0
5-FU	MK-8669	A375	12.762759503800002	0
5-FU	MK-8669	A427	20.6278648172	0
5-FU	MK-8669	CAOV3	8.763442761	0
